bbsname,cname,ename,sname,shortname
棉鴨,棉鴨,Cotton Pygmy-Goose,Nettapus coromandelianus,"COPG,CPGO,NECO"
鴛鴦,鴛鴦,Mandarin Duck,Aix galericulata,"MADU,AIGA"
巴鴨,巴鴨,Baikal Teal,Sibirionetta formosa,"BATE,SIFO"
白眉鴨,白眉鴨,Garganey,Spatula querquedula,"GARG,SPQU"
琵嘴鴨,琵嘴鴨,Northern Shoveler,Spatula clypeata,"NSHO,KOMO,NOSH,SPCL"
赤膀鴨,赤膀鴨,Gadwall,Mareca strepera,"GADW,MAST"
羅文鴨,羅文鴨,Falcated Duck,Mareca falcata,"FADU,MAFA"
赤頸鴨,赤頸鴨,Eurasian Wigeon,Mareca penelope,"EUWI,MAPE"
葡萄胸鴨,葡萄胸鴨,American Wigeon,Mareca americana,"AMWI,MAAM"
花嘴鴨,花嘴鴨,Eastern Spot-billed Duck,Anas zonorhyncha,"ESBD,ANZO"
綠頭鴨,綠頭鴨,Mallard,Anas platyrhynchos,"MALL,ANPL"
綠頭鴨(馴化),綠頭鴨(馴化),Mallard (Domestic type),Anas platyrhynchos (Domestic type),"MALL,ANPL"
尖尾鴨,尖尾鴨,Northern Pintail,Anas acuta,"NOPI,KOMA,ANAC"
小水鴨,小水鴨,Green-winged Teal,Anas crecca,"GWTE,EUTE,EGWT,EWTE,ANCR"
白眉鴨/小水鴨,白眉鴨/小水鴨,Garganey/Green-winged Teal,Spatula querquedula/Anas crecca,
鴨屬(XX鴨),鴨屬,Anas sp.,Anas sp.,
紅頭潛鴨,紅頭潛鴨,Common Pochard,Aythya ferina,"COMP,COPO,AYFE"
白眼潛鴨,白眼潛鴨,Ferruginous Duck,Aythya nyroca,"FEDU,AYNY"
青頭潛鴨,青頭潛鴨,Baer's Pochard,Aythya baeri,"BAPO,AYBA"
白眼/青頭潛鴨,白眼/青頭潛鴨,Ferruginous Duck/Baer's Pochard,Aythya nyroca/baeri,
鳳頭潛鴨,鳳頭潛鴨,Tufted Duck,Aythya fuligula,"TUDU,AYFU"
斑背潛鴨,斑背潛鴨,Greater Scaup,Aythya marila,"GRSC,AYMA"
潛鴨屬(XX潛鴨),潛鴨屬,Aythya sp.,Aythya sp.,
白秋沙,白秋沙,Smew,Mergellus albellus,"SMEW,MEAL"
川秋沙,川秋沙,Common Merganser,Mergus merganser,"COME,GOOS,MEME"
紅胸秋沙,紅胸秋沙,Red-breasted Merganser,Mergus serrator,"RBME,MESE"
川秋沙/紅胸秋沙,川秋沙/紅胸秋沙,Common/Red-breasted Merganser,Mergus merganser/serrator,
唐秋沙,唐秋沙,Scaly-sided Merganser,Mergus squamatus,"SSME,MESQ"
秋沙類(XX秋沙),秋沙類,merganser sp.,Mergellus/Lophodytes/Mergus sp.,
